Pos, Facility ID, Facility Name, Lat, Lng, Points
223, 11E9F686BC0F701081807B23EA662A63,Wallaceburg Memorial Arena,42.5969743,-82.3894236,17
224, 11eeb66b5a1b04603179e071d742dec0,Foam Lake Recreation Centre,51.8194,-103.5644,17
225, 11eebf8f1b5ef2e0185a05bc4b38f59a,Ridgevalley Arena,56.6598,-117.2896,17
226, 11efcc5f9f6ec19095fd7136dfbe7c90,Centre Sportif Mistouk,48.5592,-71.6416,17
227, 11efcfb3099b19f0bdc60934a5d9eb65,Marshal Moores Arena,48.9934,-58.1009,17
228, 11E9F686BC12B00481807B23EA662A63,western Financial Group Community Arena (formerly Bow Island Arena),49.8706161,-111.3754076,16
229, 11eeb71c1f7431e0a94860ebb2bfdc25,Alexandra Arena,53.2524,-113.5388,16
230, 11eeb99c59e12c70934c42277fc2eb09,Rogers Arena,49.2836,-123.1041,16
231, 11eebcd617b2a170a305efaa5f54d6e3,Sandy Bay Arena,54.663,-102.0822,16
232, 11eebebad4f080f0a8fe39202ee25c45,Glovertown Arena,49.4536,-54.1045,16
233, 11eec7db96b1bd20b8a44d7b7a374ffa,Arena de Valcourt,45.3973,-72.8797,16
234, 11efcd08c2d3d6303f7b8bc914b94c9f,Mnjikaning Arena Sports Ki (MASK),44.6039,-79.4126,16
235, 11E9F686BB804A8E81807B23EA662A63,Aréna Fernand-Asselin,46.3655299,-72.5833809,15
236, 11efcce6c12730105f17285b74504356,Pond Inlet Comunity Hall,70.4643,-68.4789,15
237, 11efe3fddb4ca8c01dedb0977326e16f,De Salaberry Recreation Facility (St. Malo Arena),49.0563,-96.1126,15
238, 11E9F686BB75309A81807B23EA662A63,Aréna Réjean Lemelin,46.886175,-71.2663722,14
239, 11E9F686BB79685E81807B23EA662A63,Amherst Stadium,45.8269016,-64.2001771,14
240, 11E9F686BBCB036C81807B23EA662A63,Kitchener Memorial Auditorium Dom Cardillo Kinsmen & Kiwanis Arenas,43.4472219,-80.4669317,14
241, 11E9F686BBFE48C681807B23EA662A63,Sudbury Arena,46.4886989,-80.9924581,14
242, 11eebef8eb4fb3a0eb1c98d6bfdfcb5f,Fort Macleod & District Sports Centre / Outdoor Swimming Pool / Ice Arena,49.8736,-113.5074,14
243, 11eec6f740f4c970a663bfd4e0d55d8e,Aréna Municipal,48.4606,-78.1936,14
244, 11eec7900567a2804fec4c1a0ec33e9a,Burford Community Centre,43.0986,-80.5633,14
245, 11eeca274231a87051f5d871ecdbc004,Daysland Memorial Arena,53.0635,-112.3067,14
246, 11efcc598545bb3061d82c9b9c18ec46,Southeast Event Centre,49.5264,-96.6867,14
247, 11efcd74dfe790102bf0b3a287ae113a,Festival Arena,46.2165,-64.5128,14
248, 11efd83fc73bd0a0e0288b55e4e44419,Kindersley West Central Events Centre,51.2296,-108.702,14
249, 11efe49dd41bba0063c7d8febcb7b9b1,Upper Pontiac Sports Complex,45.5234,-76.4392,14
250, 11E9F686BBA1040481807B23EA662A63,Centre sportif sainte-anne des plaines,45.7596307,-73.8445265,13
251, 11E9F686BBAD621281807B23EA662A63,Deseronto Community Recreation Centre,44.1919934,-77.0575501,13
252, 11E9F686BBB44F3C81807B23EA662A63,Essar Centre formerly Steelback Centre,46.5135,-84.337026,13
253, 11E9F686BBB833AE81807B23EA662A63,Fundy Arena,45.0663489,-66.7795881,13
254, 11E9F686BBD09D6881807B23EA662A63,Lunenburg Community Centre Arena,44.3760515,-64.3215769,13
255, 11eeb5c4366043c0d775d2171044d347,Clearwater Arena,42.9607,-82.3718,13
256, 11eeb6271149c0d06e362257ecea58d1,Sundre Arena,52.0306,-113.9565,13
257, 11eeb740841da7b099a2f8a1725ea445,Tom Forsyth Memorial Arena,55.2046,-129.0828,13
258, 11eeb7971751de10faebd9ec82c95a12,Bay Arena,47.0073,-52.9589,13
259, 11eeb81e5bb2107075791955b5ea24eb,Flames Community Arenas,51.0316,-114.0994,13
260, 11eeb854a5585fa0f0879da6e0855755,Aréna Doug-Harvey,45.4755,-73.6555,13
261, 11eebbf5dd11ffb03000c5f17510974d,Gaylord Powless Arena,42.9466,-79.8509,13
